pozycja;ilosc;czas ca³kowity(ms);czas/ilosc(ms)
942;1000;60;0.06
943;1000;10;0.01
944;1000;80;0.08
945;1000;45;0.045
946;1000;9;0.009
947;1000;83;0.083
948;1000;73;0.073
949;1000;24;0.024
950;1000;96;0.096
951;1000;63;0.063
952;1000;55;0.055
953;1000;10;0.01
954;1000;76;0.076
955;1000;45;0.045
956;1000;84;0.084
957;1000;21;0.021
958;1000;21;0.021
959;1000;22;0.022
960;1000;84;0.084
961;1000;83;0.083
962;1000;18;0.018
963;1000;8;0.008
964;1000;82;0.082
965;1000;82;0.082
966;1000;74;0.074
967;1000;47;0.047
968;1000;22;0.022
969;1000;101;0.101
970;1000;87;0.087
971;1000;83;0.083
972;1000;34;0.034
973;1000;18;0.018
974;1000;17;0.017
975;1000;82;0.082
976;1000;49;0.049
977;1000;27;0.027
978;1000;8;0.008
979;1000;0;0
980;1000;80;0.08
981;1000;2;0.002
982;1000;84;0.084
983;1000;79;0.079
984;1000;36;0.036
985;1000;8;0.008
986;1000;16;0.016
987;1000;38;0.038
988;1000;69;0.069
989;1000;66;0.066
990;1000;95;0.095
991;1000;2;0.002
992;1000;88;0.088
993;1000;29;0.029
994;1000;59;0.059
995;1000;74;0.074
996;1000;87;0.087
997;1000;83;0.083
998;1000;83;0.083
999;1000;1;0.001
